event-id,visible,timestamp,location-long,location-lat,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2549644600,true,2014-02-27 08:54:32.000,-49.82,-26.55,"-30.15:-50.64:-14.85:-47.93","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644601,true,2014-02-27 22:08:08.000,-49.88,-18.45,"-29.25:-50.68:-14.85:-48.69","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644602,true,2014-02-28 09:02:50.000,-49.88,-18.0,"-20.7:-50.68:-14.85:-49.56","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644603,true,2014-02-28 22:09:11.000,-49.88,-17.55,"-20.25:-50.68:-14.85:-49.67","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644604,true,2014-03-01 08:59:08.000,-49.88,-17.55,"-20.25:-50.67:-14.85:-49.67","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644605,true,2014-03-01 22:12:11.000,-49.88,-17.1,"-20.25:-50.67:-14.85:-49.67","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644606,true,2014-03-02 09:03:04.000,-49.88,-17.1,"-19.8:-50.67:-13.5:-49.67","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644607,true,2014-03-02 22:06:29.000,-49.88,-17.1,"-19.8:-50.62:-13.05:-49.59","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644608,true,2014-03-03 08:59:58.000,-49.88,-17.1,"-19.35:-50.62:-13.05:-49.56","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644609,true,2014-03-04 09:01:24.000,-49.88,-16.65,"-19.35:-50.54:-11.25:-49.56","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644610,true,2014-03-04 21:56:03.000,-49.88,-16.65,"-18.9:-50.48:-11.25:-49.45","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644611,true,2014-03-05 09:05:09.000,-49.88,-16.65,"-18.9:-50.41:-11.25:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644612,true,2014-03-05 21:51:32.000,-49.83,-16.2,"-18.45:-50.03:-11.25:-49.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644613,true,2014-03-06 09:06:24.000,-49.88,-15.75,"-18.45:-50.03:-11.25:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644614,true,2014-03-06 22:03:45.000,-49.88,-15.75,"-18.45:-50.11:-11.25:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644615,true,2014-03-07 09:08:42.000,-49.88,-15.75,"-18.45:-50.03:-11.25:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644616,true,2014-03-07 21:57:44.000,-49.83,-16.2,"-18.45:-50.03:-11.25:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644617,true,2014-03-08 09:02:41.000,-49.83,-16.2,"-18.45:-50.03:-11.25:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644618,true,2014-03-08 22:01:32.000,-49.83,-15.75,"-18.45:-50.03:-11.25:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644619,true,2014-03-09 09:02:35.000,-49.83,-15.75,"-18.45:-50.03:-11.25:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644620,true,2014-03-09 22:02:44.000,-49.83,-15.75,"-18.45:-50.03:-11.25:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644621,true,2014-03-10 09:05:42.000,-49.83,-15.75,"-18.45:-50.03:-11.25:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644622,true,2014-03-10 21:55:18.000,-49.83,-15.75,"-18.45:-50.03:-11.25:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644623,true,2014-03-11 09:03:04.000,-49.88,-15.75,"-18.45:-50.03:-11.25:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644624,true,2014-03-11 21:55:18.000,-49.88,-15.75,"-18.45:-50.03:-11.25:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644625,true,2014-03-12 09:09:08.000,-49.88,-15.75,"-18.45:-50.03:-10.8:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644626,true,2014-03-12 21:55:27.000,-49.88,-15.75,"-18.45:-50.03:-10.8:-49.37","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644627,true,2014-03-13 09:02:50.000,-49.88,-15.3,"-18.45:-50.03:-10.8:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644628,true,2014-03-13 21:57:44.000,-49.9,-15.3,"-18.45:-50.03:-10.8:-49.56","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644629,true,2014-03-14 09:06:21.000,-49.91,-14.85,"-18.45:-50.03:-10.8:-49.56","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
